Activity,Oppty,Corp Name,Group,WEST REGIONAL,Department,Month of event,Program Name,STAGE ,Actual Cost,Revenue
Connex,0065g00000WSXeiAAH,UNIVERSAL AGRI BISNISINDO,NEA,Supply Chain & Services,DIGITAL MEDIA & SERVICES,Februari,MITS Forum,Complete,,10000000
Connex,0065g00000WShxqAAD,UNIVERSAL AGRI BISNISINDO,NEA,Supply Chain & Services,DIGITAL MEDIA & SERVICES,Februari,MITS Forum,Identify,,0
Connex,0065g00000UrlwnAAB,UNIVERSAL AGRI BISNISINDO,NEA,Supply Chain & Services,DIGITAL MEDIA & SERVICES,Februari,MITS Forum,Complete,,265000000
Connex,0065g00000WSYFoAAP,UNIVERSAL AGRI BISNISINDO,NEA,Energy & Law Enforcement,DIGITAL MEDIA & SERVICES,Februari,MITS Forum,Complete,,527970000
Connex,0065g00000P47AJAAZ,Badan Siber dan Sandi Negara,SEA,Supply Chain & Services,Account Director,Februari,MITS Forum,Closed Lost,,2500000000
Connex,0065g00000Urf22AAB,PT Gunung Raja Paksi Tbk,NEA,Supply Chain & Services,Digital Media & Services,Februari,MITS Forum,Identify,,0
Connex,0065g00000UsmAxAAJ,PT Gunung Raja Paksi Tbk,NEA,Supply Chain & Services,Digital Media & Services,Februari,MITS Forum,Qualify,,500000000
Connex,0065g00000Wfi9JAAR,PT Gunung Raja Paksi Tbk,NEA,Resources & Manufacturing,Digital Media & Services,Februari,MITS Forum,Complete,,80225000
Connex,0065g00000WfmXLAAZ,Cipta Kridatama,NEA,East Regional,Mining & Agribusiness,Februari,MITS Forum,Complete,,50000000
Connex,0065g00000Wh1poAAB,pt. soko buana mandiri,REA,Supply Chain & Services,Kalimantan,Februari,MITS Forum,Complete,,100000000
Connex,0065g00000Wg4qXAAR,PT Porto Indonesia Sejahtera,NEA,Jabodetabek,Digital Media & Services,Februari,MITS Forum,Identify,,10000000
Connex,0065g00000Wg2kWAAR,Indonesia Hotel Group,REA,Jabodetabek,Jakarta,Februari,MITS Forum,Identify,,0
Connex,0065g00000Wg3MLAAZ,Wantiknas,REA,Resources & Manufacturing,Jakarta,Februari,MITS Forum,Develop,,50000000
Connex,0065g00000WhZYYAA3,PT. Cita Mineral Invesntindo Tbk,NEA,Jabodetabek,Mining & Agribusiness,Februari,MITS Forum,Complete,,100000000
Connex,0065g00000WgFx2AAF,PT AM/NS indonesia,REA,Jabodetabek,"Bekasi, Depok, Bogor",Februari,MITS Forum,Identify,,0
Connex,0065g00000Wh93DAAR,SanQua Multi Internasional,REA,Jabodetabek,"Bekasi, Depok, Bogor",Februari,MITS Forum,Develop,,50000000
Connex,0065g00000WgFxRAAV,Titan Corporation,REA,Strategic Banking & Financial Account,"Bekasi, Depok, Bogor",Februari,MITS Forum,Identify,,0
Sponsorship,0065g00000WflAkAAJ, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Complete,50000000,1200000000
Sponsorship,0065g00000WflBYAAZ, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Complete,,300000000
Sponsorship,0065g00000WfpXrAAJ, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Qualify,,2163720000
Sponsorship,0065g00000Ut95NAAR, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Complete,,853000000
Sponsorship,0065g00000Ur7hlAAB, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Complete,,100000000
Sponsorship,0065g00000Wfrf0AAB, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Complete,,3000000000
Sponsorship,0065g00000Ut6nlAAB, TM_BANK UOB INDONESIA PT ,SEA,East Regional,Strategic Financial & Multinational Bank,Februari,POC Event AP3MI,Complete,,5000000
Sponsorship,0065g00000Wh2qGAAR, TM_DUA KELINCI PT ,REA,"Financial, & Retail Business",Account Director,Februari,POC Event AP3MI,Complete,,231000000
Sponsorship,0065g00000WgRTAAA3, TM_KOBE BOGA UTAMA PT ,NEA,SMB Business Operation,Retail Management,Februari,POC Event AP3MI,Identify,,0
Sponsorship,0065g00000WgFg2AAF, TM_SAI INDONESIA PT ,SMB,EAST REGIONAL,SMB Jabotabtek & West Java,Februari,POC Event AP3MI,Identify,,0
JPS,0065g00000WgAH7AAN,BPD BALI,REA,EAST REGIONAL,BALI NUSRA,Maret,JPS BPD BALI,Complete,,55000000
JPS,0065g00000P3xbFAAR,BPD BALI,REA,EAST REGIONAL,BALI NUSRA,Maret,JPS BPD BALI,Cash,,241775000
JPS,0065g00000K7hvIAAR,BPD BALI,REA,Bank. & Financial Institution,BALI NUSRA,Maret,JPS BPD BALI,Complete,,58000000
JPS,0065g00000SdoFEAAZ,ARTAJASA PEMBAYARAN ELEKTRONIS PT,SEA,Bank. & Financial Institution,Finance & Multinational Bank,Maret,Tranf Knowledge Project Artajsa,Complete,14904000,2000000000
JPS,0065g00000P3aoDAAR,ARTAJASA PEMBAYARAN ELEKTRONIS PT,SEA,FINANCIAL & RETAIL BUSINESS,Finance & Multinational Bank,Maret,Tranf Knowledge Project Artajsa,Closed Lost,,750000000
JPS,0065g00000WfWGUAA3,Bank DKI,NEA,FINANCIAL & RETAIL BUSINESS,FINANCIAL & INSURANCE,Maret,Bank DKI,Complete,17820000,140000000
JPS,0065g00000WfgR5AAJ,Bank DKI,NEA,FINANCIAL & RETAIL BUSINESS,FINANCIAL & INSURANCE,Maret,Bank DKI,Complete,,300000000
JPS,0065g00000WgwPKAAZ,Bank DKI,NEA,STRATEGIC GROUP COMPANY ACCOUNT,FINANCIAL & INSURANCE,Maret,Bank DKI,Complete,,400000000
Loyalty,0065g00000Wfkf3AAB,PT. Astra Internasional,SEA,STRATEGIC GROUP COMPANY ACCOUNT,ACCOUNT DIRECTOR,Maret,JPS Astra International,Complete,18360000,1020000000
Loyalty,0065g00000Wfkf3AAB,PT. Astra Internasional,SEA,ENERGY & LAW ENFORCEMENT,ACCOUNT DIRECTOR,Maret,JPS Astra International,Complete,,0
Loyalty,0065g00000WfkDoAAJ,PT. Pertamina,SEA,ENERGY & LAW ENFORCEMENT,ENERGY,Maret,JPS PT Pertamina Retail,Develop,182952000,125000000
Loyalty,0065g00000WfkuIAAR,PT. Pertamina,SEA,DOMESTIC WHOLESALE,ENERGY,Maret,JPS PT Pertamina Retail,Develop,,270000000
Sponsorship,0065g00000WhAXbAAN,PT. JLM,WCA,DOMESTIC WHOLESALE,ISP,Maret,Sponsorship PT. JLM,Complete,100000000,535000000
Sponsorship,0065g00000WhAXvAAN,PT. JLM,WCA,STRATEGIC GROUP COMPANY ACCOUNT,ISP,Maret,Sponsorship PT. JLM,Complete,,435000000
Loyalty,0065g00000UqpOLAAZ,PT. Sumber Alfaria Trijaya,SEA,STRATEGIC GROUP COMPANY ACCOUNT,STRATEGIC GROUP COMPANY ACCOUNT,Maret,Loyalty Prog. PT Sumber Alfaria Trijaya,Complete,5250000,395000000
Loyalty,0065g00000SbtbVAAR,PT. Sumber Alfaria Trijaya,SEA,STRATEGIC GROUP COMPANY ACCOUNT,STRATEGIC GROUP COMPANY ACCOUNT,Maret,Loyalty Prog. PT Sumber Alfaria Trijaya,Complete,,1975000
Loyalty,0065g00000SedKZAAZ,PT. Sumber Alfaria Trijaya,SEA,SUPPLY CHAIN & SERVICES,STRATEGIC GROUP COMPANY ACCOUNT,Maret,Loyalty Prog. PT Sumber Alfaria Trijaya,Complete,,50000000
Loyalty,0065g00000WgLJ0AAN,PT. Garuda indonesia,NEA,East Regional,DIGITAL MEDIA & SERVICES,Maret,Loyalty Program Garuda Indonesia & Citilink,Complete,33378378,21000000000
JPS,0065g00000WfcHcAAJ,UIN Said Surakarta,REA,Jabodetabek,Central Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,110000000
JPS,0065g00000Sdy3VAAR,UIN SULTAN MAULANA HASANUDDIN BANTEN,REA,West Java,Banten,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,0
JPS,0065g00000WfxbuAAB,INSTITUT AGAMA ISLAM NEGERI CIREBON (IAIN) SYEKH NURJATI,REA,East Regional,Account Director West Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,400000000
JPS,0065g00000UtFPFAA3,UNIVERSITAS BOJONEGORO (UNIGORO),REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Closed Lost,,12000000
JPS,0065g00000Wh2NmAAJ,UIN Antasari Banjarmasin,REA,West Regional,Kalimantan,Maret,"Customer Education Event Batam,Palembang,Surabaya",Identify,,0
JPS,0065g00000WiBw4AAF,UIN Imam Bonjol Padang,REA,West Regional,North & Central Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,55000000
JPS,0065g00000UshzJAAR,UIN Suska Riau,REA,West Regional,North & Central Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Value,,343000000
JPS,0065g00000WhszPAAR,UIN Ar-Raniry Banda Aceh,REA,East Regional,North & Central Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,112500000
JPS,0065g00000WfiLlAAJ,IAIN BONE,REA,East Regional,Sulawesi,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,33500000
JPS,0065g00000UrlbQAAR,IAIN BONE,REA,East Regional,Sulawesi,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,50000000
JPS,0065g00000WfkLMAAZ,IAIN KENDARI,REA,East Regional,Sulawesi,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,13500000
JPS,0065g00000WgeeJAAR,UIN Datokarama Palu,REA,East Regional,Sulawesi,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,11500000
JPS,0065g00000WgqUoAAJ,IAIN PALOPO,REA,East Regional,Sulawesi,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,53500000
JPS,0065g00000WhANrAAN,IAIN Parepare,REA,East Regional,Sulawesi,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,33000000
JPS,0065g00000WhB8wAAF,IAIN Sorong,REA,East Regional,Sulawesi,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,18000000
JPS,0065g00000WhrogAAB,STAI AL - AZHARY,REA,West Regional,Account Director East Regional,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,300000000
JPS,0065g00000WShDEAA1,UNIVERSITAS ISLAM NEGERI RADEN FATAH PALEMBANG DITJEN PENDIDIKAN ISLAM KEMENTERIAN AGAMA,REA,West Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,85000000
JPS,0065g00000WSUKfAAP,UNIVERSITAS ISLAM NEGERI RADEN FATAH PALEMBANG DITJEN PENDIDIKAN ISLAM KEMENTERIAN AGAMA,REA,West Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,140000000
JPS,0065g00000UsZi9AAF,UNIVERSITAS ISLAM NEGERI RADEN FATAH PALEMBANG DITJEN PENDIDIKAN ISLAM KEMENTERIAN AGAMA,REA,West Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,1142000000
JPS,0065g00000WSUHlAAP,UNIVERSITAS ISLAM NEGERI RADEN FATAH PALEMBANG DITJEN PENDIDIKAN ISLAM KEMENTERIAN AGAMA,REA,West Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,160000
JPS,0065g00000WShGhAAL,STISIPOL CANDRADIMUKA,REA,West Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,67600000
JPS,0065g00000UrRbPAAV,Politeknik Negeri Sriwijaya,REA,West Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Closed Lost,,572000000
JPS,0065g00000Uq7vYAAR,Universitas Muhammadiyah Palembang,REA,West Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Closed Lost,,639990000
JPS,0065g00000UrRoIAAV,UNIVERSITAS SRIWIJAYA,REA,West Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Closed Lost,,218000000
JPS,0065g00000UtE2iAAF,Palcomtech,REA,West Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Value,,650000000
JPS,0065g00000UsaRnAAJ,Palcomtech,REA,West Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,85800000
JPS,0065g00000WSjX5AAL,Palcomtech,REA,West Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Value,,62400000
JPS,0065g00000WhpKfAAJ,Universitas Islam Negeri Fatmawati Sukarno Bengkulu,REA,East Regional,South Sumatra,Maret,"Customer Education Event Batam,Palembang,Surabaya",Develop,,130000000
JPS,0065g00000LZ6R3AAL,Universitas Merdeka Malang,REA,Jabodetabek,Account Director East Regional,Maret,"Customer Education Event Batam,Palembang,Surabaya",Closed Lost,,20000000
JPS,0065g00000Wh8E8AAJ,UIN SYARIF HIDAYATULLAH JAKARTA,REA,Jabodetabek,"Bekasi, Depok, Bogor",Maret,"Customer Education Event Batam,Palembang,Surabaya",Develop,,50000000
JPS,0065g00000Wfc9MAAR,UIN SYARIF HIDAYATULLAH JAKARTA,REA,East Regional,"Bekasi, Depok, Bogor",Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,335000000
JPS,0065g00000UrsoNAAR,Politeknik Negeri Malang ,REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,357000000
JPS,0065g00000WfcwBAAR,Politeknik Negeri Madura,REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,120000000
JPS,0065g00000WgB1yAAF,Univ. Trunojoyo Madura,REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Identify,,0
JPS,0065g00000WgkQ6AAJ,"UPN ""Veteran"" Jawa Timur",REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,333760978
JPS,0065g00000UrsmlAAB,"UPN ""Veteran"" Jawa Timur",REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,800080000
JPS,0065g00000Sel25AAB,"UPN ""Veteran"" Jawa Timur",REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,83500000
JPS,0065g00000Sel38AAB,"UPN ""Veteran"" Jawa Timur",REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,101500000
JPS,0065g00000Sel46AAB,"UPN ""Veteran"" Jawa Timur",REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,82475800
JPS,0065g00000Sel17AAB,"UPN ""Veteran"" Jawa Timur",REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,83500000
JPS,0065g00000Ur83IAAR,Universitas Nahdlatul Ulama Sunan Giri,REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,30376320
JPS,0065g00000WfgpSAAR,Universitas Nahdlatul Ulama Sunan Giri,REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Complete,,15000000
JPS,0065g00000UsqAjAAJ,Universitas Islam Malang,REA,East Regional,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Cash,,0
JPS,0065g00000Ut65JAAR,Poltekkes Kemenkes Surabaya,REA,ENERGY & LAW ENFORCEMENT,East Java,Maret,"Customer Education Event Batam,Palembang,Surabaya",Develop,,500000000
JPS,0065g00000MHodqAAD,PT. Pertamina Hulu Rokan,SEA,ENERGY & LAW ENFORCEMENT,ENERGY,April,JPS PT. Pertamina Hulu Rokan,Complete,7749216,3000000000
JPS,0065g00000MHodqAAD,PT. Pertamina Hulu Rokan,SEA,ENERGY & LAW ENFORCEMENT,ENERGY,April,JPS PT. Pertamina Hulu Rokan,Complete,,0
JPS,0065g00000MHodqAAD,PT. Pertamina Hulu Rokan,SEA,ENERGY & LAW ENFORCEMENT,ENERGY,April,JPS PT. Pertamina Hulu Rokan,Complete,,0
JPS,0065g00000LWXfxAAH,PT. Pertamina Hulu Rokan,SEA,ENERGY & LAW ENFORCEMENT,ENERGY,April,JPS PT. Pertamina Hulu Rokan,Closed Lost,,110000000
JPS,0065g00000Wg5w0AAB,PT. Pertamina Hulu Rokan,SEA,BANKING & FINANCIAL INSTITUTION,ENERGY,April,JPS PT. Pertamina Hulu Rokan,Complete,,75000000
JPS,0065g00000P3rN2AAJ,Bank BNI,SEA,BANKING & FINANCIAL INSTITUTION,FINANCE & NATIONAL BANK,April,JPS Bank BNI,Complete,19980000,0
JPS,0065g00000LmVuUAAV,Bank BNI,SEA,BANKING & FINANCIAL INSTITUTION,FINANCE & NATIONAL BANK,April,JPS Bank BNI,Complete,,0
JPS,0065g00000SeRy3AAF,Bank BNI,SEA,BANKING & FINANCIAL INSTITUTION,FINANCE & NATIONAL BANK,April,JPS Bank BNI,Complete,,0
JPS,0065g00000SeS4BAAV,Bank BNI,SEA,WEST REGIONAL,FINANCE & NATIONAL BANK,April,JPS Bank BNI,Complete,,0
Loyalty,0065g00000WgkvUAAR,ITB Bandung,REA,WEST REGIONAL,East Java,April,Iftar ITB Bandung,Cash,8100000,78600000
Loyalty,0065g00000WgqhJAAR,ITB Bandung,REA,WEST REGIONAL,East Java,April,Iftar ITB Bandung,Complete,,7500000
Loyalty,0065g00000Wgl76AAB,ITB Bandung,REA,WEST REGIONAL,East Java,April,Iftar ITB Bandung,Cash,,11500000
Loyalty,0065g00000WgfK5AAJ,PT South Pacific Viscose,REA,WEST REGIONAL,East Java,April,Loyalty PT South Pacific Viscose,Complete,15052703,30000000
Loyalty,0065g00000WhAcvAAF,PT South Pacific Viscose,REA,Null,East Java,April,Loyalty PT South Pacific Viscose,Complete,,70000000
